ngram,mean,wheight,stdev
som chef,5.719999999999952,3,5.114010168155743
beredda att,-3.283333333333379,3,37.969293295152845
under onsdagskvällen,-18.684999999999945,2,11.30663743117274
mer tid,7.327499999999958,8,8.920428801352616
för januari,0.4007142857142461,14,17.868242332863467
ur ett,9.248333333333298,6,18.092471823016993
och sannolikt,-4.77000000000002,6,20.084913741412933
ett högt,0.07000000000005002,2,2.4748737341527556
på mellan,7.321249999999964,8,16.356237287783692
tillväxt väntas,-17.539999999999964,4,12.666741227850695
italien som,-54.66999999999996,4,84.64113932755549
har motsatt,-0.8250000000000455,2,7.516545084013077
nedreviderade tillväxtprognoser,0.55499999999995,2,1.180868324581425
inte från,14.949999999999932,2,14.22698843747342
den extra,9.534999999999968,2,1.1101576464628347
dock har,-3.3850000000001046,2,8.152941187080874
vilket kan,3.4646666666666683,15,12.64579482146797
i så,-0.1425000000000182,20,15.427676045273168
nära oförändrat,7.259999999999991,2,9.927779207859102
trots stora,14.519999999999982,2,16.67357790037874
brexit pm,-6.585000000000036,2,32.024866119938714
det dessutom,3.8600000000000136,2,15.74019694921254
sänka med,-12.553333333333361,3,21.990375925238947
nödvändigt för,11.384999999999991,2,1.7748380207780672
igen i,11.284285714285748,7,11.40369948327127
sverigestigande arbetslöshet,16.62000000000012,2,0.0
svagt konsumentförtroende,1.6850000000000591,2,7.855956338982472
det kommer,-3.5906060606060817,33,27.26463425155768
dock på,5.296666666666675,9,16.444964274816762
utfallet är,3.1224999999999454,4,9.183631725339762
amerikanska tullar,0.9900000000000849,3,18.453961634294213
tiden men,11.730000000000075,4,14.880129927748209
kan genomföras,-19.304999999999836,2,1.9021172413918515
eu i,-3.7749999999999773,4,21.473556606518088
eu s,1.411454545454535,55,16.6390336945858
dra slutsatser,0.3650000000001228,2,14.036069606553065
guindos övrigt,4.295000000000073,2,18.73125863363181
undvikas även,8.964999999999918,2,14.163348827166367
norge fastland,5.034999999999968,2,5.253803384216093
budskapet från,-0.8850000000000137,10,15.517595210312427
en omsvängning,-2.369999999999891,2,0.9758073580375127
publiceras senare,-4.222500000000025,4,16.583367922912032
har hållit,13.044999999999959,2,21.757675657110216
majoritet att,1.179999999999988,6,22.07491789339216
svagt uppåt,6.794999999999936,10,9.800922008781704
jochnick i,12.196666666666639,3,19.825983792319967
p som,11.150000000000015,3,7.119740163798014
att riksbankens,6.998750000000001,8,14.075709002695776
d v,-0.8049999999999878,12,20.451668747206305
från företag,-15.330000000000041,2,28.59539823118386
än då,-9.105000000000132,2,18.05243612369254
väntat för,7.058000000000038,5,6.990216019551956
en balanserad,5.00333333333333,3,15.829419867238764
väntat har,17.944999999999936,2,8.577205255792899
fed harker,-13.159999999999854,2,14.07142494561236
bottna ur,-3.9549999999999272,2,10.93894190495575
en ekonomi,-48.63999999999995,3,96.3100934481947
stimulans om,-78.2349999999999,2,115.39275562183273
att mejsla,20.549999999999955,2,24.86187442651891
har t,0.8350000000000364,2,9.524728342582653
än de,-4.41166666666669,12,25.110668081816367
lägre räntor,2.31099999999999,10,12.842706057871474
sek är,18.24000000000001,2,0.0
i läget,-17.524999999999977,2,25.491199461775008
inte kriterierna,-14.829999999999927,2,16.320024509785465
något sämre,8.6099999999999,2,15.499780643609173
högre tillväxt,7.244999999999891,2,10.78337841309485
att lätta,-0.31666666666660603,6,15.081628117238058
främst p,-8.849999999999966,4,6.140260580789622
med vikande,16.62000000000012,2,0.0
trots svag,2.146666666666609,3,12.651981399501436
fokus kommer,8.646666666666647,6,18.78875479287185
kring den,2.8100000000000023,4,12.055242289836627
ism tjänstesektorn,-1.1166666666667122,3,31.119097566178546
