date,high,low,close,mean,vol,Oms,open
2015-10-05,"1456,97","1429,65","1456,97",,1,,"1412,86"
2015-10-02,"1429,38","1396,20","1412,86",,1,,"1404,45"
2015-10-01,"1435,97","1399,34","1404,45",,1,,"1416,89"
2015-09-30,"1423,83","1407,34","1416,89",,1,,"1391,88"
2015-09-29,"1403,30","1369,29","1391,88",,1,,"1389,38"
2015-09-28,"1416,08","1389,38","1389,38",,1,,"1418,47"
2015-09-25,"1421,63","1401,05","1418,47",,1,,"1381,87"
2015-09-24,"1424,20","1378,94","1381,87",,1,,"1421,50"
2015-09-23,"1432,38","1416,92","1421,50",,1,,"1425,39"
2015-09-22,"0,00","0,00","1425,39",,1,,"1462,66"
2015-09-21,"1467,57","1443,73","1462,66",,1,,"1453,11"
2015-09-18,"1478,69","1446,98","1453,11",,1,,"1486,46"
2015-09-17,"1488,70","1480,37","1486,46",,1,,"1483,66"
2015-09-16,"1490,56","1477,59","1483,66",,1,,"1469,08"
2015-09-15,"1475,11","1450,57","1469,08",,1,,"1467,73"
2015-09-14,"1491,82","1462,76","1467,73",,1,,"1488,41"
2015-09-11,"1499,12","1484,18","1488,41",,1,,"1494,35"
2015-09-10,"1505,66","1487,91","1494,35",,1,,"1507,15"
2015-09-09,"1524,23","1505,99","1507,15",,1,,"1488,88"
2015-09-08,"1499,47","1480,67","1488,88",,1,,"1471,75"
2015-09-07,"1479,88","1466,20","1471,75",,1,,"1461,46"
2015-09-04,"1486,05","1459,49","1461,46",,1,,"1500,21"
2015-09-03,"1506,53","1479,13","1500,21",,1,,"1471,51"
2015-09-02,"1486,13","1464,41","1471,51",,1,,"1469,86"
2015-09-01,"1489,07","1460,67","1469,86",,1,,"1501,07"
2015-08-31,"1504,55","1486,61","1501,07",,1,,"1509,71"
2015-08-28,"1509,71","1490,46","1509,71",,1,,"1502,86"
2015-08-27,"1505,88","1485,67","1502,86",,1,,"1458,20"
2015-08-26,"1490,48","1444,63","1458,20",,1,,"1483,35"
2015-08-25,"1487,26","1440,98","1483,35",,1,,"1428,08"
2015-08-24,"1471,65","1405,01","1428,08",,1,,"1495,36"
2015-08-21,"1530,71","1495,36","1495,36",,1,,"1534,39"
